Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,MAL214297108E3,CAPAE680X800N,159.5,-63.25,-90.0,top
C10,100 nF,C_0402_1005Metric,141.9,-106.7,90.0,top
C11,10 nF,C_0402_1005Metric,137.15,-106.17,-90.0,top
C12,100 nF,C_0402_1005Metric,130.5938,-113.575599,90.0,top
C13,1 uF,C_0603_1608Metric,134.0,-114.5,90.0,top
C14,1 uF,C_0603_1608Metric,141.5,-114.5,90.0,top
C15,100 nF,C_0402_1005Metric,153.275,-81.75,-90.0,top
C16,100 nF,C_0402_1005Metric,166.5,-82.0,-90.0,top
C17,100 nF,C_0402_1005Metric,153.0,-112.5,180.0,top
C18,100 nF,C_0402_1005Metric,144.0,-79.5,90.0,top
C19,100 nF,C_0402_1005Metric,157.5,-79.75,90.0,top
C2,MAL214297108E3,CAPAE680X800N,180.75,-101.5,0.0,top
C3,"8 pF, 0.1%",C_0402_1005Metric,140.5316,-95.0177,90.0,top
C4,"8 pF, 0.1%",C_0402_1005Metric,140.5316,-96.9077,90.0,top
C5,"7.5 pF, 0.1%",C_0402_1005Metric,142.5,-90.23,90.0,top
C6,"7.5 pF, 0.1%",C_0402_1005Metric,142.5,-91.98,90.0,top
C7,100 nF,C_0402_1005Metric,132.5,-100.0,-90.0,top
C8,4.7 uF,C_0603_1608Metric,137.1316,-92.8377,90.0,top
C9,100 nF,C_0402_1005Metric,139.0,-93.52,-90.0,top
C_A1,47 nF,C_0402_1005Metric,148.5,-114.8721,-90.0,top
C_D1,47 nF,C_0402_1005Metric,157.5,-115.8721,90.0,top
Conn1,Motor1,PinHeader_1x02_P2.54mm_Vertical,129.245,-54.0,90.0,top
Conn2,Motor2,PinHeader_1x02_P2.54mm_Vertical,145.8234,-54.1279,90.0,top
Conn3,Motor3,PinHeader_1x02_P2.54mm_Vertical,184.0,-88.495,0.0,top
Conn4,Motor4,PinHeader_1x02_P2.54mm_Vertical,184.0,-114.77,0.0,top
D1,SM5819L2-TP,SDO_SM5819L2-TP_MCE,129.9698,-56.95,0.0,top
D2,SM5819L2-TP,SDO_SM5819L2-TP_MCE,146.3198,-57.1,0.0,top
D3,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.5,-89.1698,-90.0,top
D4,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.2,-115.1698,-90.0,top
D5,ESDALC6V1-1M2,D_0402_1005Metric,131.0,-99.84,-90.0,top
D6,ESDALC6V1-1M2,D_0402_1005Metric,130.5,-88.5,-90.0,top
D7,ESDALC6V1-1M2,D_0402_1005Metric,164.5,-100.31,-90.0,top
IC1,STM32C092RCT6,QFP50P1200X1200X160-64N,152.0,-93.5,0.0,top
J1,GT-USB-7010ASV,USB4110-GF-A_GCT,125.6066,-109.737899,-90.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,148.995,-121.5,-90.0,top
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,156.77,-121.5,-90.0,top
Q1,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,130.0,-66.5,0.0,top
Q2,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,146.0,-66.5,0.0,top
Q3,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.5,-88.18,-90.0,top
Q4,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.4666,-115.0,-90.0,top
R1,10k,R_0402_1005Metric,125.6568,-72.9766,90.0,top
R10,DNP,R_0402_1005Metric,161.5,-100.31,90.0,top
R11,10k,R_0402_1005Metric,163.0,-100.31,-90.0,top
R12,"5.1k,10%",R_0402_1005Metric,130.2122,-107.737899,-90.0,top
R15,"5.1k,10%",R_0402_1005Metric,131.0838,-111.737899,180.0,top
R16,10k,R_0402_1005Metric,159.5,-116.0,-90.0,top
R17,10k,R_0402_1005Metric,146.5,-115.6269,-90.0,top
R18,1.8k,R_0402_1005Metric,159.5,-118.49,-90.0,top
R19,1.8k,R_0402_1005Metric,146.5,-117.8721,-90.0,top
R2,10k,R_0402_1005Metric,165.0234,-84.18,0.0,top
R20,10k,R_0402_1005Metric,154.1184,-77.365,0.0,top
R21,120,R_0402_1005Metric,161.76,-83.5,0.0,top
R22,120,R_0402_1005Metric,153.525,-79.365,-90.0,top
R23,10k,R_0402_1005Metric,166.5,-77.99,-90.0,top
R3,1,R_1206_3216Metric,135.0,-72.9766,-90.0,top
R4,1,R_1206_3216Metric,165.0334,-94.0,180.0,top
R5,10k,R_0402_1005Metric,141.8284,-72.9766,90.0,top
R6,10k,R_0402_1005Metric,164.8387,-110.6316,0.0,top
R7,1,R_1206_3216Metric,151.5,-73.0,-90.0,top
R8,1,R_1206_3216Metric,164.8387,-120.5,180.0,top
R9,10k,R_0402_1005Metric,128.4,-81.49,-90.0,top
SW1,K2-6639SP-C4SC-04,K2-6639SP-C4SC-04,125.0,-86.0,0.0,top
SW2,K2-6639SP-C4SC-04,K2-6639SP-C4SC-04,125.1,-97.0,0.0,top
SW3,K2-6639SP-C4SC-04,K2-6639SP-C4SC-04,170.0,-101.5,180.0,top
U1,NCP361SNT1G,SOT95P275X110-5N,137.5,-114.5,0.0,top
U2,CH340X,MSOP-10_3x3mm_P0.5mm,139.5,-106.8875,90.0,top
U3,XIAO-ESP32-C5-DIP,XIAO-ESP32-C5-DIP,175.0,-63.5,90.0,top
U4,MCP2562FDT-H/SN,SOIC-8_3.9x4.9mm_P1.27mm,148.725,-79.365,0.0,top
U5,MCP2562FDT-H/SN,SOIC-8_3.9x4.9mm_P1.27mm,161.75,-79.5,0.0,top
U7,LMV358AIDR,D8_TEX,153.0,-116.0,0.0,top
VBAT1,GND,PinHeader_1x02_P2.54mm_Vertical,178.23,-78.0,90.0,top
VR1,TS53YJ105MR10,TS53YJ105MR10,149.5,-108.1279,-90.0,top
VR2,TS53YJ105MR10,TS53YJ105MR10,158.5,-108.2779,90.0,top
Y1,48 MHz,ECS-480-8-30-JGN-TR,142.8816,-96.0,90.0,top
Y2,32.768 kHz,MU00527-32.768K,143.95,-90.98,90.0,top
