Comment,Designator,Footprint,LCSC,Quantity
1,"R3,R4,R7,R8",R_1206_3216Metric,C17928,4
1 uF,"C13,C14",C_0603_1608Metric,C1592,2
1.8k,"R18,R19",R_0402_1005Metric,C25871,2
10 nF,C11,C_0402_1005Metric,C15195,1
100 nF,"C10,C12,C15,C16,C17,C18,C19,C7,C9",C_0402_1005Metric,C1525,9
10k,"R1,R11,R16,R17,R2,R20,R23,R5,R6,R9",R_0402_1005Metric,C25744,10
120,"R21,R22",R_0402_1005Metric,C25079,2
4.7 uF,C8,C_0603_1608Metric,C19666,1
47 nF,"C_A1,C_D1",C_0402_1005Metric,C77012,2
"5.1k,10%","R12,R15",R_0402_1005Metric,C25905,2
"7.5 pF, 0.1%","C5,C6",C_0402_1005Metric,C161334,2
"8 pF, 0.1%","C3,C4",C_0402_1005Metric,C3849295,2
CH340X,U2,MSOP-10_3x3mm_P0.5mm,C3035748,1
ESDALC6V1-1M2,"D5,D6,D7",D_0402_1005Metric,C2649894,3
GT-USB-7010ASV,J1,USB4110-GF-A_GCT,C2988369,1
IRLZ44NSTRLPBF,"Q1,Q2,Q3,Q4",NMOSGDS_D2PAK_INF,C538199,4
K2-6639SP-C4SC-04,"SW1,SW2,SW3",K2-6639SP-C4SC-04,C83206,3
LMV358AIDR,U7,D8_TEX,C182039,1
MAL214297108E3,"C1,C2",CAPAE680X800N,C3349,2
NCP361SNT1G,U1,SOT95P275X110-5N,C233714,1
SM5819L2-TP,"D1,D2,D3,D4",SDO_SM5819L2-TP_MCE,C6297199,4
STM32C092RCT6,IC1,QFP50P1200X1200X160-64N,C45066876,1
