Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAPAE680X800N,2,47uF,C1500450
"C10, C12, C13, C16",0402,4,100nF,C60474
C11,0201,1,10 nF,C85930
C14,1206,1,10uF,C89632
C15,0201,1,100nF,C76934
"C3, C4",0201,2,6 pF,C2180818
"C5, C6",0201,2,5 pF,C464954
"C7, C9",0402,2,100 nF,C60474
C8,0603,1,4.7 uF,C19188762
CONN1,PinHeader_1x02_P2.54mm_Vertical,1,Motor1,
CONN2,PinHeader_1x02_P2.54mm_Vertical,1,Motor2,
CONN3,PinHeader_1x02_P2.54mm_Vertical,1,Motor3,
CONN4,PinHeader_1x02_P2.54mm_Vertical,1,Motor4,
"C_A1, C_D1",0201,2,44nF,C3897036
"D1, D2, D3, D4",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N4001,
"D5, D6, D7",0201,3,ESDALC6V1-1U2,C1974498
IC1,QFP50P1200X1200X160-64N,1,STM32C092RCT6,C45066876
IC2,DIP781W56P254L1918H533Q14N,1,mcp6004-e_p,
J1,USB4110-GF-A_GCT,1,GT-USB-7010ASV,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"Q1, Q2, Q3, Q4",TO-220-3_Vertical,4,IRLZ44N,
"R1, R16, R17, R2, R5, R6",0402,6,10000,C60490
R10,0402,1,DNP,
"R11, R20, R23, R9",0402,4,10k,
"R12, R15",0402,2,"5.1k,10%",
"R13, R14",0402,2,"10k, 1%",
"R18, R19",0402,2,1800,
"R21, R22",0402,2,120,
"R3, R4, R7, R8",0402,4,1,
"SW1, SW2, SW3",K2-6639SP-C4SC-04,3,K2-6639SP-C4SC-04,
U1,TPS22916CNYFPR,1,TPS22916CNYFPR,
U2,MSOP-10_3x3mm_P0.5mm,1,CH340X,
U3,XIAO-ESP32-C5-DIP,1,XIAO-ESP32-C5-DIP,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2562FDT-H/SN,
VBAT1,PinHeader_1x02_P2.54mm_Vertical,1,GND,
"VR1, VR2",TS53YJ105MR10,2,TS53YJ105MR10,
Y1,XTAL_ECS-.327-12.5-12R-TR,1,48 MHz,
Y2,XTAL_ECS-.327-12.5-12R-TR,1,32.768 kHz,
