Designator,Mid X,Mid Y,Rotation,Layer
C1,153.0,-65.0,90.0,top
C10,104.735,-79.965,0.0,top
C11,158.3684,-112.1623,180.0,top
C12,159.3684,-115.1623,90.0,bottom
C13,161.8684,-118.1623,180.0,bottom
C14,160.8684,-120.1623,180.0,bottom
C15,167.3434,-89.5073,90.0,top
C16,166.3434,-83.2973,90.0,top
C2,201.25,-129.0,0.0,top
C3,153.75,-104.18,90.0,top
C4,153.75,-106.07,90.0,top
C5,155.0,-99.155,270.0,top
C6,155.0,-100.905,90.0,top
C7,144.5,-106.23,270.0,top
C8,149.75,-102.6623,90.0,top
C9,151.25,-102.6623,270.0,top
CONN1,163.27,-54.8387,90.0,top
CONN2,141.495,-55.0,90.0,top
CONN3,214.0,-99.77,0.0,top
CONN4,178.23,-141.0,270.0,top
C_A1,155.725,-128.22415,0.0,top
C_D1,155.405,-143.22415,0.0,top
D1,164.0,-57.8387,0.0,top
D2,142.0,-58.0,0.0,top
D3,211.0,-101.0,270.0,top
D4,178.0,-138.0,180.0,top
D5,142.0,-106.07,270.0,top
D6,146.6184,-94.7573,270.0,top
D7,183.3684,-97.1623,0.0,top
IC1,165.3684,-102.6623,0.0,top
J1,147.3684,-114.6623,270.0,top
J2,148.405,-131.71915,180.0,top
J3,148.405,-139.49415,180.0,top
Q1,164.0,-66.0,0.0,top
Q2,141.6716,-66.0,0.0,top
Q3,202.0,-100.0,270.0,top
Q4,178.0,-129.0,180.0,top
R1,159.6568,-73.8487,90.0,top
R11,183.8684,-102.1623,0.0,top
R12,152.8684,-112.6623,270.0,top
R13,161.8784,-116.6623,180.0,bottom
R14,164.3684,-116.6623,180.0,bottom
R15,153.3684,-116.6623,180.0,top
R16,155.2977,-140.3684,180.0,top
R17,152.2877,-131.0,0.0,top
R18,152.7977,-140.3684,180.0,top
R19,155.2777,-131.0,0.0,top
R2,194.1513,-96.0,0.0,top
R20,166.8434,-93.7573,180.0,top
R21,175.8684,-83.1623,270.0,top
R22,167.0934,-91.7573,90.0,top
R23,176.1184,-81.1623,0.0,top
R3,168.1568,-73.8487,270.0,top
R4,194.1613,-104.0,180.0,top
R5,137.5,-73.8487,90.0,top
R6,182.3684,-121.0,270.0,top
R7,146.0,-73.8487,270.0,top
R8,173.8684,-121.0,90.0,top
R9,150.8684,-85.6523,270.0,top
SW1,147.4684,-90.1623,0.0,top
SW2,142.0,-101.25,0.0,top
SW3,177.8684,-99.1623,0.0,top
U1,159.668398,-117.962298,180.0,bottom
U2,158.3684,-114.6623,270.0,top
U3,200.62,-69.92,90.0,top
U4,171.8934,-91.7573,90.0,top
U5,170.8684,-83.1623,270.0,top
U7,153.905,-135.72415,270.0,top
VBAT1,104.73,-83.0,90.0,top
VR1,161.405,-132.22415,180.0,top
VR2,161.255,-141.22415,180.0,top
Y1,156.5,-104.1623,90.0,top
Y2,156.5,-100.155,90.0,top
