Comment,Designator,Footprint,LCSC,Quantity
1,"R3,R39,R4,R40,R43,R44,R7,R8",R_1206_3216Metric,C17928,8
1 uF,"C13,C14",C_0603_1608Metric,C15849,2
"1.5k, 1%",R35,R_0402_1005Metric,C25867,1
1.8k,"R18,R19,R31,R33",R_0402_1005Metric,C25871,4
100 nF,"C17,C20,C21,C22,C23,C26,C7,C9",C_0402_1005Metric,C1525,8
100 pF,C12,C_0402_1005Metric,C1546,1
10k,"R1,R11,R16,R17,R2,R29,R30,R32,R34,R38,R41,R42,R5,R6,R9",R_0402_1005Metric,C25744,15
1k,"R26,R36,R37",R_0402_1005Metric,C11702,3
20k,"R13,R14,R24,R25",R_0402_1005Metric,C25765,4
4.7 uF,"C25,C8",C_0603_1608Metric,C19666,2
47 nF,"C_A1,C_A2,C_D1,C_D2",C_0402_1005Metric,C77012,4
"5.1k,10%","R12,R15",R_0402_1005Metric,C25905,2
"7.5 pF, 0.1%","C5,C6",C_0402_1005Metric,C161334,2
"8 pF, 0.1%","C3,C4",C_0402_1005Metric,C3849295,2
CP2102N-A02-GQFN20R,IC2,CP2102NA02GQFN20,C969913,1
ESDALC6V1-1M2,"D5,D6,D7",D_0402_1005Metric,C2649894,3
Honor Elec RVT1H470M0607,"C1,C10,C11,C2",CAPAE680X800N,C3349,4
IRLZ44NSTRLPBF,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",NMOSGDS_D2PAK_INF,C538199,8
LED,D9,D_0402_1005Metric,C71911,1
LED,D10,D_0402_1005Metric,C74338,1
MAX40200AUK,U2,SOT-23-5,C2649430,1
MINISMDC260F/16-2,F2,Fuse_1812_4532Metric,C16490,1
NCP361SNT1G,U1,SOT95P275X110-5N,C233714,1
SM5819L2-TP,"D11,D12,D13,D14,D2,D3,D4,D8",SDO_SM5819L2-TP_MCE,C6297199,8
STM32C092RCT6,IC1,QFP50P1200X1200X160-64N,C45066876,1
USBLC6-2SC6,U7,SOT-23-6,C7519,1
K2-6639SP-C4SC-04,SW2,K2-6639SP-C4SC-04,,1
Motor2,Conn2,PinHeader_1x02_P2.54mm_Vertical,,1
K2-6639SP-C4SC-04,SW3,K2-6639SP-C4SC-04,,1
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,,1
32.768 kHz,Y2,MU00527-32.768K,,1
GND,VBAT1,PinHeader_1x02_P2.54mm_Vertical,,1
XIAO-ESP32-C5-DIP,U3,XIAO-ESP32-C5-DIP,,1
48 MHz,Y1,ECS-480-8-30-JGN-TR,,1
Motor4,Conn4,PinHeader_1x02_P2.54mm_Vertical,,1
TS53YJ105MR10,VR2,TS53YJ105MR10,,1
K2-6639SP-C4SC-04,SW1,K2-6639SP-C4SC-04,,1
USB4110-GF-A,J1,USB4110-GF-A_GCT,,1
Conn_01x02,J3,PinHeader_1x02_P2.54mm_Vertical,,1
TS53YJ105MR10,VR1,TS53YJ105MR10,,1
Motor3,Conn3,PinHeader_1x02_P2.54mm_Vertical,,1
Motor1,Conn1,PinHeader_1x02_P2.54mm_Vertical,,1
22.1k,R28,R_0402_1005Metric,,1
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,,1
Motor8,Conn8,PinHeader_1x02_P2.54mm_Vertical,,1
Motor5,Conn5,PinHeader_1x02_P2.54mm_Vertical,,1
Motor6,Conn6,PinHeader_1x02_P2.54mm_Vertical,,1
Motor7,Conn7,PinHeader_1x02_P2.54mm_Vertical,,1
47.5k,R27,R_0402_1005Metric,,1
LM324DR,U6,D14,,1
Conn_01x02,J4,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02,J5,PinHeader_1x02_P2.54mm_Vertical,,1
TS53YJ105MR10,VR4,TS53YJ105MR10,,1
TS53YJ105MR10,VR3,TS53YJ105MR10,,1
Conn_01x04,J6,PinHeader_1x04_P2.54mm_Vertical,,1
