Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,Honor Elec RVT1H470M0607,CAPAE680X800N,173.0,-65.5,180.0,top
C10,Honor Elec RVT1H470M0607,CAPAE680X800N,118.5,-61.0,180.0,top
C11,Honor Elec RVT1H470M0607,CAPAE680X800N,173.0,-86.0,180.0,top
C12,100 pF,C_0402_1005Metric,121.48,-109.5,180.0,top
C13,1 uF,C_0603_1608Metric,122.25,-106.5,90.0,top
C14,1 uF,C_0603_1608Metric,128.75,-106.5,90.0,top
C17,100 nF,C_0402_1005Metric,145.2862,-112.5,-90.0,top
C2,Honor Elec RVT1H470M0607,CAPAE680X800N,173.0,-107.5,180.0,top
C20,100 nF,C_0402_1005Metric,148.7862,-105.5,180.0,top
C21,100 nF,C_0402_1005Metric,151.3062,-105.5,180.0,top
C22,100 nF,C_0402_1005Metric,155.02,-105.0,180.0,top
C23,100 nF,C_0402_1005Metric,152.0,-104.0,180.0,top
C25,4.7 uF,C_0603_1608Metric,131.99,-115.01,0.0,top
C26,100 nF,C_0402_1005Metric,132.49,-113.51,0.0,top
C3,"8 pF, 0.1%",C_0402_1005Metric,140.5316,-95.0177,90.0,top
C4,"8 pF, 0.1%",C_0402_1005Metric,140.5316,-96.9077,90.0,top
C5,"7.5 pF, 0.1%",C_0402_1005Metric,142.5,-90.0,90.0,top
C6,"7.5 pF, 0.1%",C_0402_1005Metric,142.5,-91.98,90.0,top
C7,100 nF,C_0402_1005Metric,139.5,-101.5,-90.0,top
C8,4.7 uF,C_0603_1608Metric,137.1316,-92.8377,90.0,top
C9,100 nF,C_0402_1005Metric,139.0,-93.52,-90.0,top
C_A1,47 nF,C_0402_1005Metric,145.4516,-108.75,-90.0,top
C_A2,47 nF,C_0402_1005Metric,145.2862,-115.25,90.0,top
C_D1,47 nF,C_0402_1005Metric,154.7862,-108.75,90.0,top
C_D2,47 nF,C_0402_1005Metric,154.7862,-115.25,-90.0,top
Conn1,Motor1,PinHeader_1x02_P2.54mm_Vertical,184.5,-79.77,0.0,top
Conn2,Motor2,PinHeader_1x02_P2.54mm_Vertical,184.5,-70.1766,180.0,bottom
Conn3,Motor3,PinHeader_1x02_P2.54mm_Vertical,184.5,-118.02,0.0,top
Conn4,Motor4,PinHeader_1x02_P2.54mm_Vertical,184.5,-108.77,0.0,bottom
Conn5,Motor5,PinHeader_1x02_P2.54mm_Vertical,184.5,-97.245,0.0,bottom
Conn6,Motor6,PinHeader_1x02_P2.54mm_Vertical,184.5,-87.745,0.0,bottom
Conn7,Motor7,PinHeader_1x02_P2.54mm_Vertical,130.495,-53.0,90.0,top
Conn8,Motor8,PinHeader_1x02_P2.54mm_Vertical,122.495,-53.0,270.0,bottom
D10,LED,D_0402_1005Metric,131.49,-106.51,180.0,top
D11,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.5,-97.0,-90.0,top
D12,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.5,-118.2072,-90.0,top
D13,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.5,-87.75,-90.0,top
D14,SM5819L2-TP,SDO_SM5819L2-TP_MCE,122.225,-56.0,0.0,top
D2,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.5,-69.6802,90.0,top
D3,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.38834,-77.9898,-90.0,top
D4,SM5819L2-TP,SDO_SM5819L2-TP_MCE,181.3623,-108.3702,-90.0,top
D5,ESDALC6V1-1M2,D_0402_1005Metric,138.0,-101.34,-90.0,top
D6,ESDALC6V1-1M2,D_0402_1005Metric,136.6,-90.0,-90.0,top
D7,ESDALC6V1-1M2,D_0402_1005Metric,124.5,-96.985,-90.0,top
D8,SM5819L2-TP,SDO_SM5819L2-TP_MCE,130.5,-56.0,0.0,top
D9,LED,D_0402_1005Metric,133.49,-106.01,90.0,top
F2,MINISMDC260F/16-2,Fuse_1812_4532Metric,176.0,-55.5,180.0,top
IC1,STM32C092RCT6,QFP50P1200X1200X160-64N,152.0,-93.5,0.0,top
IC2,CP2102N-A02-GQFN20R,CP2102NA02GQFN20,134.49,-110.26,0.0,top
J1,USB4110-GF-A,USB4110-GF-A_GCT,115.8944,-112.278551,-90.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,134.045,-128.5,-90.0,top
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,157.77,-128.5,-90.0,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,141.755,-128.5,-90.0,top
J5,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,149.73,-128.5,-90.0,top
J6,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,115.25,-80.73,0.0,top
Q1,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.6279,-96.5,-90.0,top
Q2,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.19624,-70.0,90.0,bottom
Q3,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.6279,-76.0,-90.0,top
Q4,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.6289,-109.75,90.0,bottom
Q5,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,130.0,-66.5,0.0,top
Q6,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.6792,-118.2126,-90.0,top
Q7,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,171.60914,-88.5656,90.0,bottom
Q8,IRLZ44NSTRLPBF,NMOSGDS_D2PAK_INF,122.0,-66.5334,0.0,bottom
R1,10k,R_0402_1005Metric,130.0,-76.0,180.0,top
R11,10k,R_0402_1005Metric,126.0,-97.0,-90.0,top
R12,"5.1k,10%",R_0402_1005Metric,121.46,-110.5,180.0,top
R13,20k,R_0402_1005Metric,147.7862,-106.5,180.0,top
R14,20k,R_0402_1005Metric,149.7762,-106.5,0.0,top
R15,"5.1k,10%",R_0402_1005Metric,121.51,-114.0,180.0,top
R16,10k,R_0402_1005Metric,157.2862,-109.74,-90.0,top
R17,10k,R_0402_1005Metric,142.7862,-109.74,-90.0,top
R18,1.8k,R_0402_1005Metric,157.2962,-111.98,-90.0,top
R19,1.8k,R_0402_1005Metric,142.7862,-112.5,-90.0,top
R2,10k,R_0402_1005Metric,162.0,-74.5,90.0,top
R24,20k,R_0402_1005Metric,154.5,-106.5,90.0,top
R25,20k,R_0402_1005Metric,153.0,-106.0,90.0,top
R26,1k,R_0402_1005Metric,137.49,-114.01,0.0,top
R27,47.5k,R_0402_1005Metric,137.49,-115.51,0.0,top
R28,22.1k,R_0402_1005Metric,134.99,-114.01,180.0,top
R29,10k,R_0402_1005Metric,162.0,-94.5,-90.0,top
R3,1,R_1206_3216Metric,135.0,-72.9766,-90.0,top
R30,10k,R_0402_1005Metric,144.0362,-112.5,-90.0,top
R31,1.8k,R_0402_1005Metric,144.0362,-114.5,-90.0,top
R32,10k,R_0402_1005Metric,156.0362,-115.25,90.0,top
R33,1.8k,R_0402_1005Metric,154.7862,-112.75,90.0,top
R34,10k,R_0402_1005Metric,138.49,-112.01,180.0,top
R35,"1.5k, 1%",R_0402_1005Metric,124.45,-112.96,90.0,top
R36,1k,R_0402_1005Metric,134.99,-106.01,90.0,top
R37,1k,R_0402_1005Metric,131.49,-105.01,180.0,top
R38,10k,R_0402_1005Metric,162.0,-116.0,-90.0,top
R39,1,R_1206_3216Metric,165.25,-101.5,0.0,top
R4,1,R_1206_3216Metric,165.25,-80.75,0.0,top
R40,1,R_1206_3216Metric,165.25,-123.75,0.0,top
R41,10k,R_0402_1005Metric,165.0,-92.5,180.0,top
R42,10k,R_0402_1005Metric,125.99,-77.0,-90.0,top
R43,1,R_1206_3216Metric,165.25,-83.75,0.0,top
R44,1,R_1206_3216Metric,122.5,-77.0,0.0,top
R5,10k,R_0402_1005Metric,161.51,-72.0,90.0,top
R6,10k,R_0402_1005Metric,162.0,-111.75,-90.0,top
R7,1,R_1206_3216Metric,164.69624,-64.5,0.0,top
R8,1,R_1206_3216Metric,165.25,-105.0,0.0,top
R9,10k,R_0402_1005Metric,134.5,-82.99,-90.0,top
SW1,K2-6639SP-C4SC-04,K2-6639SP-C4SC-04,131.1,-87.5,0.0,top
SW2,K2-6639SP-C4SC-04,K2-6639SP-C4SC-04,132.1,-98.5,0.0,top
SW3,K2-6639SP-C4SC-04,K2-6639SP-C4SC-04,119.0,-94.5,0.0,top
U1,NCP361SNT1G,SOT95P275X110-5N,125.5,-106.5,0.0,top
U2,MAX40200AUK,SOT-23-5,168.0,-55.0,180.0,top
U3,XIAO-ESP32-C5-DIP,XIAO-ESP32-C5-DIP,149.0,-63.255,90.0,top
U6,LM324DR,D14,150.0362,-112.0,0.0,top
U7,USBLC6-2SC6,SOT-23-6,128.5,-111.0,0.0,top
VBAT1,GND,PinHeader_1x02_P2.54mm_Vertical,184.5,-56.73,0.0,top
VR1,TS53YJ105MR10,TS53YJ105MR10,133.9,-122.0,0.0,top
VR2,TS53YJ105MR10,TS53YJ105MR10,157.65,-122.0,180.0,top
VR3,TS53YJ105MR10,TS53YJ105MR10,141.75,-122.0,180.0,top
VR4,TS53YJ105MR10,TS53YJ105MR10,149.75,-122.0,180.0,top
Y1,48 MHz,ECS-480-8-30-JGN-TR,142.8816,-96.0,90.0,top
Y2,32.768 kHz,MU00527-32.768K,143.95,-90.98,90.0,top
